"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Rudraprayag","Urban",100,9.7,0.3,91.6,0.0,101.6,0.0,0.0,0.0,9.7,0.3,91.6
"Tehri Garhwal","Rural",100,1919208669.63261,17330.068,310084.431,1919536084.1316102,0.0,1919208669.63261,17330.068,310084.431,0.0,0.0,0.0
"Tehri Garhwal","Total",100,2137561751.8063798,15473.275000000001,345363.49799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tehri Garhwal","Urban",100,3673694838.6779904,4332.517,593554.829,0.0,3674292726.0239906,0.0,0.0,0.0,3673694838.6779904,4332.517,593554.829
"Dehradun","Rural",100,26.7,3.9,74.6,105.2,0.0,26.7,3.9,74.6,0.0,0.0,0.0
"Dehradun","Total",100,23.1,3.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dehradun","Urban",100,20.4,2.4,95.2,0.0,118.0,0.0,0.0,0.0,20.4,2.4,95.2
"Garhwal","Rural",100,2281409094.54003,12370.878,331951.893,2281753417.31103,0.0,2281409094.54003,12370.878,331951.893,0.0,0.0,0.0
"Garhwal","Total",100,2612048093.7487297,11683.607,380060.86299999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Garhwal","Urban",100,4473073317.86627,7559.981000000001,650845.637,0.0,4473731723.48427,0.0,0.0,0.0,4473073317.86627,7559.981000000001,650845.637
"Pithoragarh","Rural",100,1121823680.2608001,11119.097,232050.72,1122066850.0778,0.0,1121823680.2608001,11119.097,232050.72,0.0,0.0,0.0
"Pithoragarh","Total",100,1290097232.29992,10152.219000000001,266858.32800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pithoragarh","Urban",100,2255333023.85765,2417.195,466518.635,0.0,2255801959.68765,0.0,0.0,0.0,2255333023.85765,2417.195,466518.635
"Bageshwar","Rural",100,361376291.6614001,7537.0419999999995,139045.43000000002,361522874.1334001,0.0,361376291.6614001,7537.0419999999995,139045.43000000002,0.0,0.0,0.0
"Bageshwar","Total",100,370157397.81391996,7537.0419999999995,142424.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bageshwar","Urban",100,607922733.636,2339.0820000000003,233908.2,0.0,608158980.9180001,0.0,0.0,0.0,607922733.636,2339.0820000000003,233908.2
"Almora","Rural",100,24.1,1.7,51.6,77.4,0.0,24.1,1.7,51.6,0.0,0.0,0.0
"Almora","Total",100,23.2,1.7,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Almora","Urban",100,14.5,1.3,91.9,0.0,107.7,0.0,0.0,0.0,14.5,1.3,91.9
"Champawat","Rural",100,272365018.9721599,15578.88,104897.79199999999,272485495.6441599,0.0,272365018.9721599,15578.88,104897.79199999999,0.0,0.0,0.0
"Champawat","Total",100,312815269.31455994,15578.88,120476.67199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Champawat","Urban",100,538662500.39296,15319.232000000002,207458.752,0.0,538885278.3769599,0.0,0.0,0.0,538662500.39296,15319.232000000002,207458.752
"Nainital","Rural",100,6324218699.813501,48684.854999999996,662495.8700000001,6324929880.538501,0.0,6324218699.813501,48684.854999999996,662495.8700000001,0.0,0.0,0.0
